i,Images\Easy\SquareArea_25.png,What is the area of this triangle?,25,
e,,(x*14)+20 = 48,2,What is x?
e,,(x*15)+20 = 65,3,What is x?
e,,(x-2)(x+4),x^2+2x-8,What is the result of the following when expanded?
e,,(x+3)(x+2),x^2+5x+6,What is the result when expanded?
e,,(x-1)(x+5),x^2+4x-5,What is the result when expanded?
e,,(x+4)(x-3),x^2+x-12,What is the result when expanded?
e,,(2x+1)(x+2),2x^2+5x+2,What is the result when expanded?
e,,(x-2)(x-3),x^2-5x+6,What is the result when expanded?
e,,(x+1)(x+3),x^2+4x+3,What is the result when expanded?
e,,(x-1)(x-4),x^2-5x+4,What is the result when expanded?
e,,(x+2)(x-5),x^2-3x-10,What is the result when expanded?
e,,(x-3)(x+1),x^2-2x-3,What is the result when expanded?
e,,(x+4)(x+1),x^2+5x+4,What is the result when expanded?
e,,(x-2)(x-1),x^2-3x+2,What is the result when expanded?
e,,2x/3 = 14,21,What is x?
e,,3x/4 = 18,24,What is x?
e,,5x/6 = 25,30,What is x?
e,,35.0 - 24.8,10.2,What is the result?
e,,28.7 - 16.9,11.8,What is the result?
e,,32.4 - 25.7,6.7,What is the result?
e,,40.0 - 28.5,11.5,What is the result?